|||Sütunlar|
Satırlar|||Ankara-TR51|
||||
|||Tüketici Madde Fiyatları (2003=100)|
2005|01-Ocak|0441001. (Su Faturası)|1.5826|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.405|
||0722001. (Benzin)|2.3272|
||0830009. (İnternet Ücreti)|13.6864|
|02-Şubat|0441001. (Su Faturası)|1.5826|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.4|
||0722001. (Benzin)|2.3736|
||0830009. (İnternet Ücreti)|13.6917|
|03-Mart|0441001. (Su Faturası)|1.6068|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.42|
||0722001. (Benzin)|2.4071|
||0830009. (İnternet Ücreti)|13.6917|
|04-Nisan|0441001. (Su Faturası)|1.6198|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.42|
||0722001. (Benzin)|2.5419|
||0830009. (İnternet Ücreti)|13.9496|
|05-Mayıs|0441001. (Su Faturası)|1.7278|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.42|
||0722001. (Benzin)|2.4945|
||0830009. (İnternet Ücreti)|14.2074|
|06-Haziran|0441001. (Su Faturası)|1.8213|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.425|
||0722001. (Benzin)|2.5436|
||0830009. (İnternet Ücreti)|14.7099|
|07-Temmuz|0441001. (Su Faturası)|1.8213|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.45|
||0722001. (Benzin)|2.5802|
||0830009. (İnternet Ücreti)|14.3048|
|08-Ağustos|0441001. (Su Faturası)|1.8213|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.45|
||0722001. (Benzin)|2.6281|
||0830009. (İnternet Ücreti)|14.2357|
|09-Eylül|0441001. (Su Faturası)|1.8345|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.47|
||0722001. (Benzin)|2.7051|
||0830009. (İnternet Ücreti)|13.5793|
|10-Ekim|0441001. (Su Faturası)|1.8391|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.47|
||0722001. (Benzin)|2.6835|
||0830009. (İnternet Ücreti)|13.0636|
|11-Kasım|0441001. (Su Faturası)|1.8407|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0722001. (Benzin)|2.5495|
||0830009. (İnternet Ücreti)|13.0636|
|12-Aralık|0441001. (Su Faturası)|1.8407|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0722001. (Benzin)|2.5558|
||0830009. (İnternet Ücreti)|11.3426|
2006|01-Ocak|0441001. (Su Faturası)|1.5|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.49|
||0722001. (Benzin)|2.62|
||0830009. (İnternet Ücreti)|76.43|
|02-Şubat|0441001. (Su Faturası)|1.6349|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.48|
||0722001. (Benzin)|2.5827|
||0830009. (İnternet Ücreti)|76.4334|
|03-Mart|0441001. (Su Faturası)|1.6349|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.51|
||0722001. (Benzin)|2.6085|
||0830009. (İnternet Ücreti)|77.4654|
|04-Nisan|0441001. (Su Faturası)|1.5251|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.51|
||0722001. (Benzin)|2.7433|
||0830009. (İnternet Ücreti)|77.4654|
|05-Mayıs|0441001. (Su Faturası)|1.5413|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.52|
||0722001. (Benzin)|2.8096|
||0830009. (İnternet Ücreti)|77.4654|
|06-Haziran|0441001. (Su Faturası)|1.5748|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.54|
||0722001. (Benzin)|2.9803|
||0830009. (İnternet Ücreti)|78.2324|
|07-Temmuz|0441001. (Su Faturası)|1.6307|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.54|
||0722001. (Benzin)|3.0829|
||0830009. (İnternet Ücreti)|78.2324|
|08-Ağustos|0441001. (Su Faturası)|1.6424|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.58|
||0722001. (Benzin)|2.9861|
||0830009. (İnternet Ücreti)|78.2324|
|09-Eylül|0441001. (Su Faturası)|1.6424|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.58|
||0722001. (Benzin)|2.7674|
||0830009. (İnternet Ücreti)|70.7688|
|10-Ekim|0441001. (Su Faturası)|1.6424|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.58|
||0722001. (Benzin)|2.7179|
||0830009. (İnternet Ücreti)|70.7688|
|11-Kasım|0441001. (Su Faturası)|1.6487|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.61|
||0722001. (Benzin)|2.7129|
||0830009. (İnternet Ücreti)|70.7688|
|12-Aralık|0441001. (Su Faturası)|1.6487|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.61|
||0722001. (Benzin)|2.7429|
||0830009. (İnternet Ücreti)|70.7688|
2007|01-Ocak|0441001. (Su Faturası)|1.7158|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.6049|
||0722001. (Benzin)|2.6513|
||0830009. (İnternet Ücreti)|78.1663|
|02-Şubat|0441001. (Su Faturası)|1.7158|
||0451001. (Elektrik Ücreti)|0.16|
||0452101. (Doğal Gaz)|0.6049|
||0722001. (Benzin)|2.6875|
